L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,branch-instructions,branch-loads,branch-misses,bus-cycles,cache-misses,cache-references,iTLB-load-misses,instructions,node-loads,node-stores,class
17736,8754600,680032,5987,2109,5843,6410140,2683476,75188,752347,8977,33809,133,90029350,4657,945,benign
1723,11538,6112,1555,347,684,59731,6317,2114,11912,4662,6629,73,330593,1189,192,benign
1743,5958,9063,761,3,362,5558,4867,414,2854,904,2912,80,21235,310,530,benign
2676,83659,28097,4078,1378,1627,60263,60033,2211,12990,5536,6868,306,332766,1311,206,benign
1801,7565,9083,1066,314,469,4854,7040,382,5085,180,2649,85,20998,197,8,benign
441,6592,4199,628,23,314,951707,5394,26006,170423,12382,100397,81,3962284,7111,287,benign
167369,1452837,572617,12428,16115,39842,1205467,1024565,24719,176452,22723,75583,622,5839270,18520,702,benign
342325,13145919,6559038,200281,21626,109778,10866395,13085531,184107,901464,35508,302179,3498,46588458,21457,1421,benign
388316,9051133,4234984,147269,7247,86826,8528213,8639125,111142,962725,5302,218941,2897,35298319,3145,281,benign
1953,27880,17257,1167,241,1325,23099,17953,476,5471,1186,4253,75,120899,922,43,benign
183748,707797,444476,46667,2852,62259,3007588,2816211,36185,390804,391,239537,1515,12901748,1137,3,benign
2977,27729,18675,1948,832,1350,15849,16268,543,3746,659,4225,96,84435,584,75,benign
6543,128441,80827,10142,247,4596,15930,90729,711,2803,60,3490,582,85780,34,19,benign
554059,10712551,5761936,159899,6107,120089,6565884,5855746,164558,898103,39143,546735,4644,30597623,26725,3123,benign
85766,1249405,598765,52198,7053,19391,16113,879368,457,3207,308,3295,1375,86392,226,45,benign
468,5974,3810,806,21,336,4858,4882,285,1054,1,1138,65,20943,4,0,benign
410652,11252425,5837549,91081,6541,93205,2483315,9110266,90654,416356,37672,297406,2071,11796750,17610,1980,benign
512,7552,3794,770,288,452,4926,7038,345,1412,3,1770,59,33868,3,0,benign
848364,8811513,4291156,123704,101606,204568,11553321,7939826,99414,897941,15790,119875,3280,49245856,10786,2011,benign
1730,7549,9063,673,8,380,14593,7040,914,1021,20,4766,97,68652,5,2,benign
509,5991,3816,864,284,374,4854,4917,350,1277,0,1729,71,20955,0,0,benign
3106,27915,18286,2001,990,1455,16610,16399,615,3819,767,4667,96,90175,636,82,benign
6661,66123,44768,1615,697,2422,37718,37264,744,7766,1306,6845,100,236346,994,304,benign
3364,27561,15846,761,1407,2680,289220,3210,5727,40043,9823,21443,403,83988,156,341,benign
1526,15916,12441,798,30,653,44382,10481,1724,13735,5873,8740,29,229542,1211,356,benign
1797,7533,9048,1050,306,462,7019,7025,382,1095,6,2339,86,33593,5,1,benign
68383,3623062,2906092,46638,8331,24316,739992,3152130,24761,142945,12419,91922,1391,3681673,5759,984,benign
3054,28392,18951,2450,847,1444,16196,16673,670,3919,335,4686,129,86847,265,65,benign
1788,7535,9048,922,63,443,12046,7022,654,2775,6,3157,84,58656,5,516,benign
544956,8131853,4660894,231956,4140,223758,6028880,6117225,212463,874244,7763,595996,11474,29390150,4770,2570,benign
2279,51600,32801,3546,746,1405,33852,32702,1400,14761,1039,13208,119,179601,363,204,benign
5627,60680,47046,3035,173,2054,131636,41247,2615,24273,2253,18321,141,283320,918,240,benign
1819,7520,9045,1044,324,464,4914,7005,337,1726,4,1745,83,21210,4,0,benign
71571,1117634,670951,68753,1342,32618,1198466,907143,23771,182539,2963,176908,4023,9806644,1954,322,benign
2879,26819,18569,1529,813,1383,18043,16218,599,4172,427,4323,104,85013,342,83,benign
6790,87199,59420,10783,2144,3379,40761,59136,2453,15756,8516,11714,285,83424,1470,520,benign
